name,GGV,IDG,Ali,Baidu,HH_VC,HH,Sequoia,Matrix,Qiming,Tencent,Zhen,BD
生物技术和制药,3,39,0,2,26,54,70,29,69,12,9,0
游戏开发商,5,42,5,3,0,1,23,22,9,137,31,9
数据服务,18,43,6,6,5,10,40,26,12,18,28,1
媒体及阅读,6,19,8,7,0,4,15,23,13,43,38,13
医疗器械及硬件,5,11,0,1,20,14,29,15,48,6,7,0
交通出行,10,10,22,5,0,9,23,23,11,21,20,0
综合电商,9,31,20,1,0,5,16,10,8,31,13,1
企业IT服务,16,18,8,1,1,4,25,28,7,22,5,4
视频/直播,6,33,8,7,0,1,13,10,6,26,24,3
行业信息化及解决方案,8,25,7,5,6,6,17,7,8,15,15,1
餐饮业,8,17,4,3,1,3,20,28,1,9,22,2
集成电路,3,12,7,2,13,10,22,16,10,7,14,0
食品饮料,4,16,2,0,7,10,20,22,3,5,22,3
服装服饰,6,31,10,0,0,3,14,13,7,7,21,0
前沿技术,8,16,10,1,2,3,29,6,8,9,17,1
机器人,6,12,3,1,9,3,22,10,7,15,14,7
K12,8,25,2,1,0,4,19,7,4,15,20,2
医疗信息化,6,11,1,2,2,2,18,24,9,15,12,0
影视,1,8,10,7,0,1,12,12,3,38,6,0
销售营销,3,18,6,2,1,1,22,6,3,18,14,3
生鲜食品,7,15,7,1,1,8,20,7,1,11,12,0
人力资源,9,9,0,2,0,6,16,19,5,4,17,0
企业安全,9,14,2,2,5,2,15,11,4,11,10,0
动漫,3,8,4,0,0,2,3,8,7,40,4,4
电商解决方案,6,17,10,2,4,2,9,9,1,10,12,0
跨境电商,8,23,1,2,0,3,12,10,1,2,15,0
语言学习,7,10,1,4,0,2,10,10,2,9,21,0
消费电子,7,17,4,3,0,7,6,6,5,7,11,1
保险,8,14,1,0,1,1,10,10,5,13,10,0
支付,2,11,3,1,1,3,13,5,0,22,8,0
医疗机构,4,3,1,4,1,7,17,17,9,5,0,0
专科服务,0,11,0,0,2,8,6,15,14,2,5,0
百货零售,4,13,7,0,0,2,10,9,3,9,5,0
兴趣社区,4,14,2,1,0,0,8,14,3,7,8,0
化妆品,8,6,2,2,4,3,13,7,1,4,10,0
自动/无人驾驶,3,16,1,5,1,2,8,2,7,5,9,0
金融信息化,2,6,0,2,1,7,16,1,3,14,6,0
社区电商,6,5,5,0,0,2,5,5,5,4,18,0
音乐,4,8,2,3,0,0,4,3,5,12,9,2
理财,1,14,0,0,0,1,12,11,6,3,4,0
汽车制造,2,5,4,5,0,7,8,5,0,9,5,2
综合文娱,1,4,6,2,1,3,7,6,0,13,6,3
本地综合生活,1,2,13,3,0,3,11,4,2,11,2,0
办公OA,10,6,1,1,1,1,9,4,0,4,10,4
医疗综合服务,0,7,2,0,1,5,9,9,10,7,1,0
儿童早教,10,1,0,1,0,0,6,4,2,12,12,2
寻医诊疗,1,3,0,1,2,1,11,15,4,4,5,0
二手电商,7,4,1,1,0,2,3,10,6,4,9,0
电子竞技,2,7,0,0,0,0,8,6,1,16,5,1
装修装潢,7,8,6,1,0,5,5,8,0,2,4,0
汽车后服务,2,3,2,3,0,2,11,2,5,7,9,0
货运物流,4,3,1,4,0,4,7,6,0,11,5,0
素质教育,1,7,0,0,1,5,2,8,3,4,14,0
陌生人交友,3,7,5,0,0,0,3,7,2,12,4,1
金融综合服务,5,4,2,2,0,3,8,7,2,10,1,0
大宗商品,4,6,2,0,0,0,6,15,2,2,7,0
区块链行业应用,1,12,1,1,0,0,9,3,2,1,13,0
借贷,0,6,0,1,0,3,15,6,2,2,7,0
图像视频,2,5,2,1,0,0,4,8,6,4,8,1
财务税务,2,11,4,0,1,6,5,5,0,4,2,0
整合营销传播,6,8,1,1,0,0,2,4,0,10,6,2
智能家居,1,4,5,2,0,2,5,8,2,1,5,3
通信制造,1,7,5,6,0,1,4,2,3,5,2,0
节能环保,3,5,0,0,0,0,3,7,13,0,5,0
演艺,1,7,1,0,0,1,2,6,2,7,7,1
二手车,0,5,0,1,0,1,9,8,1,8,2,0
跨境游,1,2,5,0,0,0,8,13,0,2,3,0
旅游综合服务,2,3,1,2,0,4,10,0,4,8,0,0
医药电商,1,2,0,0,0,3,13,5,6,4,0,0
同城物流,0,0,5,0,0,3,11,10,0,3,1,0
创业服务,1,5,0,0,0,2,6,8,0,3,6,2
开发者服务,5,6,1,2,0,0,2,5,2,4,5,0
职业培训,3,4,0,0,1,1,2,4,4,4,8,0
健康保健,1,1,1,1,0,1,6,2,4,4,10,0
其他电商服务,3,6,1,0,0,2,9,2,2,3,3,0
游戏综合服务,0,8,1,0,0,0,2,2,3,14,1,0
房产综合服务,7,3,0,3,0,7,3,2,0,5,0,0
母婴电商,1,6,1,1,0,4,7,4,0,1,5,0
体育媒体及社区,0,9,0,0,0,0,5,3,0,5,6,1
事项及效率,0,3,1,2,0,0,10,2,0,4,6,1
美业服务,0,12,2,0,0,0,3,6,2,1,3,0
移动及网络广告,0,10,0,2,0,0,5,3,4,1,2,1
大众健身,5,3,0,0,1,3,3,2,0,8,3,0
法律服务,2,3,0,0,0,0,5,7,0,10,1,0
其他文娱服务,2,3,4,0,0,0,4,2,1,7,3,1
房产租赁,0,7,2,2,0,0,3,7,3,2,1,0
教育信息化,2,1,0,0,3,0,2,0,0,7,10,1
交通食宿,4,6,1,0,0,1,5,4,1,1,3,0
股票,0,2,0,2,0,0,6,5,0,6,5,0
家居家纺,0,7,1,1,0,0,5,2,0,0,9,1
新能源,2,1,0,0,0,2,9,2,6,0,3,0
综合物流,1,1,7,1,0,4,9,0,0,1,1,0
宠物服务,3,3,1,0,0,9,0,3,2,3,1,0
可穿戴设备,6,3,2,0,1,0,3,4,1,4,0,0
供应链金融,0,6,0,0,1,0,2,6,0,5,3,0
游戏媒体及社区,0,3,0,1,0,0,3,8,2,4,2,0
家政服务,0,6,0,1,0,0,1,10,0,5,0,0
休闲娱乐,0,7,1,0,0,0,1,5,0,2,6,0
客户服务,2,3,0,0,2,0,3,6,0,0,5,0
投融资,0,2,1,0,0,0,4,4,0,3,7,0
传感设备,2,2,1,1,1,0,5,1,0,3,4,0
物流信息化,2,4,0,0,0,1,6,1,0,2,3,1
商户服务及信息化,0,3,2,2,0,1,4,0,2,3,3,0
数字货币,1,6,0,0,0,0,1,5,0,0,7,0
奢侈品,3,8,4,0,0,1,0,2,0,1,0,1
消费金融,0,3,0,1,0,0,7,3,3,1,1,0
小区服务,0,4,0,0,0,7,2,0,0,5,1,0
无人机,3,1,0,0,1,0,3,1,0,2,8,0
轻工制造,0,8,2,0,0,0,3,2,0,2,1,0
快递服务,0,1,11,0,0,1,5,0,0,0,0,0
云服务,4,4,1,0,0,0,3,1,0,2,3,0
信用及征信,1,4,0,1,0,1,2,2,0,3,4,0
车联网,0,1,3,2,0,0,1,2,0,5,3,0
游戏发行及渠道,1,3,1,1,0,0,1,2,1,3,4,0
综合社交,1,2,3,0,0,1,0,1,2,4,1,1
综合工具服务,1,4,3,1,0,2,1,1,1,0,1,0
汽车零部件,0,2,2,1,0,0,2,2,4,0,2,0
车主工具及服务,4,0,0,0,0,0,2,1,0,2,6,0
汽车金融,0,2,0,1,0,0,1,4,1,5,1,0
汽车电商,3,0,2,1,0,1,3,1,0,3,1,0
婚礼婚庆,0,5,0,0,0,0,1,5,0,1,3,0
赛事运营及经纪,0,8,2,0,0,0,0,0,0,1,4,0
其他医疗服务,1,1,0,0,0,1,2,0,9,1,0,0
商业房产,1,6,0,0,0,0,3,3,0,0,1,0
军工制造,0,3,0,1,0,0,2,7,0,1,0,0
搜索引擎,1,4,4,0,0,0,0,0,0,4,1,0
农业电商,0,1,1,0,0,1,4,4,1,0,2,0
高等教育,0,0,1,1,0,0,4,1,0,1,4,2
工业4.0,0,1,1,0,0,1,0,1,5,2,1,2
实用生活服务,1,1,2,0,0,0,2,0,5,2,1,0
家庭熟人社交,2,1,0,0,0,0,3,0,0,5,2,0
无线通讯,2,3,1,0,0,0,1,2,2,1,1,0
教育综合服务,1,0,2,2,0,0,0,3,0,4,1,0
商务社交,0,6,0,0,0,0,1,4,0,0,2,0
艺术,3,1,1,0,0,0,0,1,0,1,5,0
医生服务,0,0,0,0,0,1,3,2,1,2,2,0
机械设备,0,0,0,0,1,1,6,3,0,0,0,0
其他企业服务,4,0,1,0,0,0,2,1,0,2,1,0
其他金融,2,3,0,0,0,1,2,1,0,1,0,1
出国留学,1,4,0,1,0,0,0,2,0,0,3,0
新材料,2,4,0,0,1,0,0,2,0,0,1,0
婚恋交友,1,0,0,0,0,0,1,1,3,1,3,0
珠宝首饰,0,3,0,0,0,0,1,0,1,2,3,0
设计及创意,0,1,1,0,0,0,4,0,0,1,1,2
IP版权,0,2,0,0,0,0,1,2,0,3,0,2
其他生活服务,0,1,1,1,0,0,0,3,0,1,2,0
旅游信息化,0,5,2,0,0,1,0,0,0,1,0,0
智能装备,1,0,2,1,0,0,1,0,0,3,1,0
种植养殖,3,2,0,0,1,0,1,1,0,0,1,0
女性社群,0,0,0,0,0,0,0,7,0,0,2,0
国内游,0,4,1,0,0,0,1,3,0,0,0,0
汽车综合服务,0,0,1,1,0,4,0,0,0,2,0,0
其他游戏服务,0,1,1,0,0,1,0,0,0,5,0,0
其他工具,1,1,0,0,0,0,2,1,0,2,1,0
旅游工具及社区,0,1,1,0,0,0,0,5,0,1,0,0
应用商店,0,2,0,1,0,0,2,1,0,1,1,0
房产信息化,0,1,1,0,0,0,3,1,0,2,0,0
系统工具,0,0,0,0,0,0,1,2,2,1,2,0
广告技术,0,5,0,0,0,0,0,0,0,0,3,0
农业服务,0,0,0,0,0,0,3,4,0,1,0,0
传统广告,0,3,0,1,0,0,0,0,3,0,0,0
其他教育,0,0,0,0,0,0,1,2,0,2,2,0
石油矿采,0,1,0,0,0,0,1,3,1,1,0,0
其他房产服务,2,0,0,0,0,0,2,2,1,0,0,0
浏览器,0,1,0,1,0,0,1,2,0,2,0,0
综合企业服务,0,0,2,0,0,0,0,1,0,1,3,0
养老服务,0,2,0,0,0,0,1,0,2,0,1,0
综合硬件,1,3,1,0,0,0,0,0,1,0,0,0
安全隐私,0,2,1,0,0,0,1,0,0,2,0,0
化学工业,0,0,0,0,0,1,3,1,0,0,1,0
3D打印,0,0,0,0,0,0,1,1,0,0,4,0
仓储服务,1,1,3,0,0,0,0,1,0,0,0,0
位置定位,0,1,2,0,0,0,1,0,0,2,0,0
体育用品及装备,1,0,1,0,0,1,2,0,0,0,0,0
体育设施及场馆,0,1,0,0,0,0,1,3,0,0,0,0
校园社交,1,1,0,0,0,0,0,2,0,0,0,1
房产电商,0,0,0,0,0,0,1,0,0,1,3,0
其他农业,1,0,0,0,0,1,2,1,0,0,0,0
维修服务,0,0,0,0,0,0,2,2,0,0,1,0
其他物流,0,1,2,0,1,0,0,0,0,0,1,0
其他汽车服务,1,0,0,0,0,0,0,0,0,2,1,0
优化清理,0,0,1,1,0,0,0,0,0,2,0,0
新型农业系统,2,0,0,0,0,0,0,0,0,0,2,0
外汇期货贵金属,1,2,0,0,0,0,0,0,0,0,0,0
其他广告,0,2,0,0,0,0,0,1,0,0,0,0
3C电子,0,2,0,0,0,0,0,0,0,0,1,0
跨境物流,0,1,0,0,0,0,1,1,0,0,0,0
区块链媒体及社区,0,1,0,0,0,0,0,0,0,0,2,0
区块链基础技术,0,1,0,0,0,0,2,0,0,0,0,0
房产金融,1,0,0,1,0,0,0,0,0,0,1,0
建筑,0,1,0,0,0,2,0,0,0,0,0,0
数字虚拟商品,0,0,1,0,0,0,0,0,1,1,0,0
电子设备,0,0,0,0,0,0,2,1,0,0,0,0
综合农业,2,0,0,0,0,0,0,0,0,0,0,0
其他社交,0,0,0,0,0,0,0,1,0,0,0,1
同性社交,0,0,0,0,0,0,1,1,0,0,0,0
房产开发,0,1,0,0,0,0,0,0,0,1,0,0
其他体育服务,0,0,1,0,0,0,0,0,0,0,1,0
区块链应用技术,0,1,0,0,0,0,1,0,0,0,0,0
户外及极限运动,0,2,0,0,0,0,0,0,0,0,0,0
其他硬件服务,0,0,0,0,0,0,1,0,0,0,1,0
教辅设备,2,0,0,0,0,0,0,0,0,0,0,0
综合体育,0,0,2,0,0,0,0,0,0,0,0,0
文件文档,0,2,0,0,0,0,0,0,0,0,0,0
其他工业,0,0,0,0,0,0,1,0,0,1,0,0
农业生物技术,0,0,0,0,0,0,0,0,0,1,1,0
校园服务,0,0,0,0,0,0,0,1,0,1,0,0
其他旅游服务,1,0,0,0,0,0,0,0,0,0,0,0
游戏道具衍生品,1,0,0,0,0,0,0,0,0,0,0,0
广告平台,0,0,0,0,0,0,0,0,0,1,0,0
主题特色游,0,1,0,0,0,0,0,0,0,0,0,0
彩票,0,0,0,0,0,0,0,0,0,1,0,0
图书影音,0,0,0,0,0,0,0,0,0,0,1,0
